failure_reason,cases,V2_Net,Exp1_Net,Hybrid35_Net,Exp1_vs_V2,Hybrid35_vs_V2
CARD_EXPIRED,65,63860.634253519995,55213.17219227001,63860.634253519995,-8647.462061249986,0.0
INSUFFICIENT_FUNDS,183,255770.55858887,248464.23692269,255973.78913523,-7306.321666179982,203.23054636002053
NETWORK_ERROR,62,135378.85914972,131870.77011348002,135516.49888511997,-3508.0890362399805,137.63973539997824
BANK_DECLINED,145,202148.66614195998,195427.03147962998,202384.37663974997,-6721.634662330005,235.71049778998713
AUTHENTICATION_FAILED,54,47760.930870669996,44009.41907539,47760.930870669996,-3751.511795279999,0.0
LIMIT_EXCEEDED,50,137130.62574406998,130744.15390642,137370.67857977998,-6386.47183764998,240.05283570999745
